CountryName,GDPPerCapita2017,FemaletoMaleLaborParticipationRatio2017,Continent
Afghanistan,519.884773,28.0631557,Asia
Angola,4095.81294,96.2805555,Africa
Albania,4531.02081,72.1710705,Europe
United Arab Emirates,40644.804,56.2098089,Asia
Argentina,14613.0418,67.8793343,South America
Armenia,3914.50127,71.5745416,Asia
Australia,54027.9668,84.4453544,Europe
Austria,47426.512,82.9182601,Europe
Azerbaijan,4147.08972,90.3534323,Asia
Burundi,292.997631,103.470246,Africa
Belgium,44192.623,81.02319,Europe
Benin,1136.59285,93.7469244,Africa
Burkina Faso,734.99443,77.7221855,Africa
Bangladesh,1563.9137,44.0389055,Asia
Bulgaria,8334.08173,80.3235145,Europe
Bahrain,23742.985,50.8675223,Asia
"Bahamas, The",32718.6381,83.4177792,North America
Bosnia and Herzegovina,5394.59122,62.1283398,Europe
Belarus,5761.74712,82.0052956,Europe
Belize,4887.57721,61.2567138,North America
Bolivia,3351.12404,74.6865483,South America
Brazil,9925.38624,72.6548038,South America
Barbados,17391.4259,89.1785811,North America
Brunei Darussalam,28572.1468,80.9828649,Asia
Bhutan,3286.5747,80.4044493,Africa
Botswana,7893.23253,84.3991737,Africa
Central African Republic,450.900245,80.4099546,Africa
Canada,45148.5527,87.1694732,North America
Switzerland,80449.9945,84.2496196,Europe
Chile,14999.3701,68.7793154,South America
China,8879.43867,80.9200996,Asia
Côte d'Ivoire,2111.02708,72.6852364,Africa
Cameroon,1425.10782,87.5376395,Africa
"Congo, Dem. Rep.",467.074237,91.5502678,Africa
"Congo, Rep.",2191.22044,94.2158552,Africa
Colombia,6376.70672,71.2932859,South America
Comoros,1323.81159,72.4494482,Africa
Cabo Verde,3292.64575,77.829049,Africa
Costa Rica,11814.6266,60.7513747,North America
Cuba,8541.21067,61.3507602,North America
Cyprus,26338.6943,84.9916083,Asia
Czech Republic,20636.2,76.4212259,Europe
Germany,44552.8194,82.9722013,Europe
Djibouti,2914.38386,73.1125378,Africa
Denmark,57610.0982,87.9759564,Europe
Dominican Republic,7609.3388,65.0299885,North America
Algeria,4111.29411,21.9160267,Africa
Ecuador,6213.50128,69.1095567,South America
"Egypt, Arab Rep.",2444.29031,30.7552419,Asia
Spain,28170.1679,81.6572995,Europe
Estonia,20458.4607,79.9658584,Europe
Ethiopia,768.522308,85.0760885,Africa
Finland,46336.6633,88.1851309,Europe
Fiji,6101.03084,49.9753195,Oceania
France,38812.161,83.8806545,Europe
Gabon,7230.39639,70.3002056,Africa
United Kingdom,40361.4174,84.2174992,Europe
Georgia,4357.00094,71.0757108,Asia
Ghana,2025.93242,88.2814466,Africa
Guinea,855.57364,103.23299,Africa
"Gambia, The",679.756914,74.8825979,Africa
Guinea-Bissau,738.549945,83.4137588,Africa
Equatorial Guinea,9667.91225,81.6852742,Africa
Greece,18930.2186,74.6172818,Europe
Guatemala,4451.45098,45.9677622,Africa
Guam,35615.8046,69.0241363,Africa
Guyana,6124.92997,63.5407151,south America
"Hong Kong SAR, China",46165.8565,79.7937543,Asia
Honduras,2453.7279,55.0340727,North America
Croatia,13451.6249,77.7642729,North America
Haiti,1294.23975,84.8753766,North America
Hungary,14605.8543,73.8828829,Europe
Indonesia,3837.65173,63.4684812,Asia
India,1981.65105,27.3957774,Asia
Ireland,69822.3471,81.0692979,Europe
"Iran, Islamic Rep.",5520.31047,25.029032,Asia
Iraq,5205.28825,15.2647895,Asia
Iceland,71310.9393,89.3150881,Europe
Israel,40541.8621,85.5489419,Asia
Italy,32406.7203,68.6779314,Europe
Jamaica,5069.18384,82.8394664,North America
Jordan,4234.40313,22.2027754,Asia
Japan,38386.5111,72.4614841,Asia
Kazakhstan,9247.58133,83.181757,Asia
Kenya,1572.3355,92.3533659,Africa
Kyrgyz Republic,1242.76964,61.2291643,Asia
Cambodia,1385.25998,86.132151,Asia
"Korea, Rep.",31616.8434,71.808202,Asia
Kuwait,29759.4365,57.2498941,Asia
Lao PDR,2423.8462,95.6641499,Asia
Lebanon,7801.17866,31.8101108,Asia
Liberia,698.701764,88.9387896,Africa
Libya,5756.69845,52.23686,Africa
St. Lucia,11047.445,79.0470143,North America
Sri Lanka,4077.04372,47.1860165,Asia
Lesotho,1150.07917,79.1261314,Africa
Lithuania,16885.4074,84.0385992,Europe
Luxembourg,107627.151,84.9439482,Europe
Latvia,15682.2214,81.1829108,Europe
"Macao SAR, China",81516.6749,85.7040055,Asia
Morocco,3036.32525,30.4874256,Africa
Moldova,3509.69345,85.880733,Europe
Madagascar,515.292725,93.5533156,Africa
Maldives,9577.62519,51.6331787,Asia
Mexico,9287.84974,55.41109,North America
North Macedonia,5430.87421,63.0444038,Europe
Mali,830.018367,75.75536,Africa
Malta,28091.8616,66.4675174,Europe
Myanmar,1291.54241,61.6157724,Asia
Montenegro,7784.08791,75.4076846,Europe
Mongolia,3669.41754,79.9038645,Asia
Mozambique,461.415094,97.736979,Africa
Mauritania,1578.11417,45.3625865,Africa
Mauritius,10484.9084,61.5668247,Africa
Malawi,356.717573,89.2680608,Africa
Malaysia,10259.1818,65.6492458,Asia
Namibia,5303.30917,85.8781703,Africa
Niger,517.97503,72.4781916,Africa
Nigeria,1968.56474,82.7856625,Africa
Nicaragua,2159.15787,59.8035013,North America
Netherlands,48675.2223,83.9182749,Europe
Norway,75496.7541,90.0888009,Europe
Nepal,911.444267,96.9208934,Asia
New Zealand,42849.4263,85.3068839,Oceania
Oman,15130.5207,34.8791161,Asia
Pakistan,1464.99331,27.4503788,Asia
Panama,15150.3456,64.5240494,North America
Peru,6710.50803,82.1219123,s
Philippines,3123.23423,61.3446938,Asia
Papua New Guinea,2695.25188,96.7581578,Oceania
Poland,13864.6818,74.0765966,Europe
Puerto Rico,31108.7528,65.4785774,North America
Portugal,21490.4299,83.6674124,Europe
Paraguay,5680.58077,67.2208453,south America
West Bank and Gaza,3620.36049,24.9046476,Asia
Qatar,59124.9324,60.7862027,Asia
Romania,10807.7954,70.9405376,Europe
Russian Federation,10720.3326,77.7693258,Europe
Rwanda,772.318472,100.352861,Africa
Saudi Arabia,20803.7459,28.6871485,Asia
Sudan,1111.86845,42.1414394,Africa
Senegal,1361.69959,60.3760852,Africa
Singapore,60913.7453,78.6720849,Asia
Solomon Islands,2332.81487,96.0472227,Oceania
Sierra Leone,499.380708,97.4502457,Africa
El Salvador,3910.25719,59.8038322,North America
Serbia,6292.54363,75.5447552,Europe
São Tomé and Principe,1813.78324,55.3289867,Africa
Suriname,5637.51495,60.2023677,south America
Slovak Republic,17556.6008,77.9756858,Europe
Slovenia,23512.8173,84.7276959,Europe
Sweden,53791.5087,90.1201526,Europe
Eswatini,3914.61325,85.1519224,Africa
Chad,665.948353,82.0760951,Africa
Togo,626.091528,96.5117326,Africa
Thailand,6592.9149,77.9311904,Asia
Tajikistan,806.041573,60.0167856,Asia
Turkmenistan,6587.09032,65.8552167,Asia
Timor-Leste,1286.40575,84.9139562,Asia
Tonga,4513.60953,61.448941,Oceania
Trinidad and Tobago,16238.1932,70.9531587,North America
Tunisia,3481.22874,34.5877039,Africa
Turkey,10591.4744,46.197192,Europe
Tanzania,1004.84112,91.0567178,Africa
Uganda,747.196907,89.6886454,Africa
Ukraine,2640.67568,74.1588269,Europe
Uruguay,17322.1474,75.4317143,south America
United States,60062.2223,82.2425689,North America
Uzbekistan,1826.56692,67.2918393,Asia
St. Vincent and the Grenadines,7212.96018,69.7516727,North America
Virgin Islands (U.S.),35938.0244,92.4145986,North America
Vietnam,2365.62167,88.1816865,Asia
Vanuatu,3082.35632,77.2977953,Oceania
Samoa,4259.765,56.2571773,Oceania
"Yemen, Rep.",960.528534,8.59248135,Asia
South Africa,6132.47984,78.5638508,Africa
Zambia,1534.86675,88.313809,Africa
Zimbabwe,1548.17006,87.4008016,Africa