TableName,GDPPerCapita2017,FemaletoMaleLaborParticipationRatio2017,Bloomberg Chart,D3 Chart
Afghanistan,519.884773,28.0631557,"[519.884773,28.0631557],","{'gdp':519.884773,'female_ratio':28.0631557},"
Angola,4095.81294,96.2805555,"[4095.81294,96.2805555],","{'gdp':4095.81294,'female_ratio':96.2805555},"
Albania,4531.02081,72.1710705,"[4531.02081,72.1710705],","{'gdp':4531.02081,'female_ratio':72.1710705},"
United Arab Emirates,40644.804,56.2098089,"[40644.804,56.2098089],","{'gdp':40644.804,'female_ratio':56.2098089},"
Argentina,14613.0418,67.8793343,"[14613.0418,67.8793343],","{'gdp':14613.0418,'female_ratio':67.8793343},"
Armenia,3914.50127,71.5745416,"[3914.50127,71.5745416],","{'gdp':3914.50127,'female_ratio':71.5745416},"
Australia,54027.9668,84.4453544,"[54027.9668,84.4453544],","{'gdp':54027.9668,'female_ratio':84.4453544},"
Austria,47426.512,82.9182601,"[47426.512,82.9182601],","{'gdp':47426.512,'female_ratio':82.9182601},"
Azerbaijan,4147.08972,90.3534323,"[4147.08972,90.3534323],","{'gdp':4147.08972,'female_ratio':90.3534323},"
Burundi,292.997631,103.470246,"[292.997631,103.470246],","{'gdp':292.997631,'female_ratio':103.470246},"
Belgium,44192.623,81.02319,"[44192.623,81.02319],","{'gdp':44192.623,'female_ratio':81.02319},"
Benin,1136.59285,93.7469244,"[1136.59285,93.7469244],","{'gdp':1136.59285,'female_ratio':93.7469244},"
Burkina Faso,734.99443,77.7221855,"[734.99443,77.7221855],","{'gdp':734.99443,'female_ratio':77.7221855},"
Bangladesh,1563.9137,44.0389055,"[1563.9137,44.0389055],","{'gdp':1563.9137,'female_ratio':44.0389055},"
Bulgaria,8334.08173,80.3235145,"[8334.08173,80.3235145],","{'gdp':8334.08173,'female_ratio':80.3235145},"
Bahrain,23742.985,50.8675223,"[23742.985,50.8675223],","{'gdp':23742.985,'female_ratio':50.8675223},"
"Bahamas, The",32718.6381,83.4177792,"[32718.6381,83.4177792],","{'gdp':32718.6381,'female_ratio':83.4177792},"
Bosnia and Herzegovina,5394.59122,62.1283398,"[5394.59122,62.1283398],","{'gdp':5394.59122,'female_ratio':62.1283398},"
Belarus,5761.74712,82.0052956,"[5761.74712,82.0052956],","{'gdp':5761.74712,'female_ratio':82.0052956},"
Belize,4887.57721,61.2567138,"[4887.57721,61.2567138],","{'gdp':4887.57721,'female_ratio':61.2567138},"
Bolivia,3351.12404,74.6865483,"[3351.12404,74.6865483],","{'gdp':3351.12404,'female_ratio':74.6865483},"
Brazil,9925.38624,72.6548038,"[9925.38624,72.6548038],","{'gdp':9925.38624,'female_ratio':72.6548038},"
Barbados,17391.4259,89.1785811,"[17391.4259,89.1785811],","{'gdp':17391.4259,'female_ratio':89.1785811},"
Brunei Darussalam,28572.1468,80.9828649,"[28572.1468,80.9828649],","{'gdp':28572.1468,'female_ratio':80.9828649},"
Bhutan,3286.5747,80.4044493,"[3286.5747,80.4044493],","{'gdp':3286.5747,'female_ratio':80.4044493},"
Botswana,7893.23253,84.3991737,"[7893.23253,84.3991737],","{'gdp':7893.23253,'female_ratio':84.3991737},"
Central African Republic,450.900245,80.4099546,"[450.900245,80.4099546],","{'gdp':450.900245,'female_ratio':80.4099546},"
Canada,45148.5527,87.1694732,"[45148.5527,87.1694732],","{'gdp':45148.5527,'female_ratio':87.1694732},"
Switzerland,80449.9945,84.2496196,"[80449.9945,84.2496196],","{'gdp':80449.9945,'female_ratio':84.2496196},"
Chile,14999.3701,68.7793154,"[14999.3701,68.7793154],","{'gdp':14999.3701,'female_ratio':68.7793154},"
China,8879.43867,80.9200996,"[8879.43867,80.9200996],","{'gdp':8879.43867,'female_ratio':80.9200996},"
Côte d'Ivoire,2111.02708,72.6852364,"[2111.02708,72.6852364],","{'gdp':2111.02708,'female_ratio':72.6852364},"
Cameroon,1425.10782,87.5376395,"[1425.10782,87.5376395],","{'gdp':1425.10782,'female_ratio':87.5376395},"
"Congo, Dem. Rep.",467.074237,91.5502678,"[467.074237,91.5502678],","{'gdp':467.074237,'female_ratio':91.5502678},"
"Congo, Rep.",2191.22044,94.2158552,"[2191.22044,94.2158552],","{'gdp':2191.22044,'female_ratio':94.2158552},"
Colombia,6376.70672,71.2932859,"[6376.70672,71.2932859],","{'gdp':6376.70672,'female_ratio':71.2932859},"
Comoros,1323.81159,72.4494482,"[1323.81159,72.4494482],","{'gdp':1323.81159,'female_ratio':72.4494482},"
Cabo Verde,3292.64575,77.829049,"[3292.64575,77.829049],","{'gdp':3292.64575,'female_ratio':77.829049},"
Costa Rica,11814.6266,60.7513747,"[11814.6266,60.7513747],","{'gdp':11814.6266,'female_ratio':60.7513747},"
Cuba,8541.21067,61.3507602,"[8541.21067,61.3507602],","{'gdp':8541.21067,'female_ratio':61.3507602},"
Cyprus,26338.6943,84.9916083,"[26338.6943,84.9916083],","{'gdp':26338.6943,'female_ratio':84.9916083},"
Czech Republic,20636.2,76.4212259,"[20636.2,76.4212259],","{'gdp':20636.2,'female_ratio':76.4212259},"
Germany,44552.8194,82.9722013,"[44552.8194,82.9722013],","{'gdp':44552.8194,'female_ratio':82.9722013},"
Djibouti,2914.38386,73.1125378,"[2914.38386,73.1125378],","{'gdp':2914.38386,'female_ratio':73.1125378},"
Denmark,57610.0982,87.9759564,"[57610.0982,87.9759564],","{'gdp':57610.0982,'female_ratio':87.9759564},"
Dominican Republic,7609.3388,65.0299885,"[7609.3388,65.0299885],","{'gdp':7609.3388,'female_ratio':65.0299885},"
Algeria,4111.29411,21.9160267,"[4111.29411,21.9160267],","{'gdp':4111.29411,'female_ratio':21.9160267},"
Ecuador,6213.50128,69.1095567,"[6213.50128,69.1095567],","{'gdp':6213.50128,'female_ratio':69.1095567},"
"Egypt, Arab Rep.",2444.29031,30.7552419,"[2444.29031,30.7552419],","{'gdp':2444.29031,'female_ratio':30.7552419},"
Spain,28170.1679,81.6572995,"[28170.1679,81.6572995],","{'gdp':28170.1679,'female_ratio':81.6572995},"
Estonia,20458.4607,79.9658584,"[20458.4607,79.9658584],","{'gdp':20458.4607,'female_ratio':79.9658584},"
Ethiopia,768.522308,85.0760885,"[768.522308,85.0760885],","{'gdp':768.522308,'female_ratio':85.0760885},"
Finland,46336.6633,88.1851309,"[46336.6633,88.1851309],","{'gdp':46336.6633,'female_ratio':88.1851309},"
Fiji,6101.03084,49.9753195,"[6101.03084,49.9753195],","{'gdp':6101.03084,'female_ratio':49.9753195},"
France,38812.161,83.8806545,"[38812.161,83.8806545],","{'gdp':38812.161,'female_ratio':83.8806545},"
Gabon,7230.39639,70.3002056,"[7230.39639,70.3002056],","{'gdp':7230.39639,'female_ratio':70.3002056},"
United Kingdom,40361.4174,84.2174992,"[40361.4174,84.2174992],","{'gdp':40361.4174,'female_ratio':84.2174992},"
Georgia,4357.00094,71.0757108,"[4357.00094,71.0757108],","{'gdp':4357.00094,'female_ratio':71.0757108},"
Ghana,2025.93242,88.2814466,"[2025.93242,88.2814466],","{'gdp':2025.93242,'female_ratio':88.2814466},"
Guinea,855.57364,103.23299,"[855.57364,103.23299],","{'gdp':855.57364,'female_ratio':103.23299},"
"Gambia, The",679.756914,74.8825979,"[679.756914,74.8825979],","{'gdp':679.756914,'female_ratio':74.8825979},"
Guinea-Bissau,738.549945,83.4137588,"[738.549945,83.4137588],","{'gdp':738.549945,'female_ratio':83.4137588},"
Equatorial Guinea,9667.91225,81.6852742,"[9667.91225,81.6852742],","{'gdp':9667.91225,'female_ratio':81.6852742},"
Greece,18930.2186,74.6172818,"[18930.2186,74.6172818],","{'gdp':18930.2186,'female_ratio':74.6172818},"
Guatemala,4451.45098,45.9677622,"[4451.45098,45.9677622],","{'gdp':4451.45098,'female_ratio':45.9677622},"
Guam,35615.8046,69.0241363,"[35615.8046,69.0241363],","{'gdp':35615.8046,'female_ratio':69.0241363},"
Guyana,6124.92997,63.5407151,"[6124.92997,63.5407151],","{'gdp':6124.92997,'female_ratio':63.5407151},"
"Hong Kong SAR, China",46165.8565,79.7937543,"[46165.8565,79.7937543],","{'gdp':46165.8565,'female_ratio':79.7937543},"
Honduras,2453.7279,55.0340727,"[2453.7279,55.0340727],","{'gdp':2453.7279,'female_ratio':55.0340727},"
Croatia,13451.6249,77.7642729,"[13451.6249,77.7642729],","{'gdp':13451.6249,'female_ratio':77.7642729},"
Haiti,1294.23975,84.8753766,"[1294.23975,84.8753766],","{'gdp':1294.23975,'female_ratio':84.8753766},"
Hungary,14605.8543,73.8828829,"[14605.8543,73.8828829],","{'gdp':14605.8543,'female_ratio':73.8828829},"
Indonesia,3837.65173,63.4684812,"[3837.65173,63.4684812],","{'gdp':3837.65173,'female_ratio':63.4684812},"
India,1981.65105,27.3957774,"[1981.65105,27.3957774],","{'gdp':1981.65105,'female_ratio':27.3957774},"
Ireland,69822.3471,81.0692979,"[69822.3471,81.0692979],","{'gdp':69822.3471,'female_ratio':81.0692979},"
"Iran, Islamic Rep.",5520.31047,25.029032,"[5520.31047,25.029032],","{'gdp':5520.31047,'female_ratio':25.029032},"
Iraq,5205.28825,15.2647895,"[5205.28825,15.2647895],","{'gdp':5205.28825,'female_ratio':15.2647895},"
Iceland,71310.9393,89.3150881,"[71310.9393,89.3150881],","{'gdp':71310.9393,'female_ratio':89.3150881},"
Israel,40541.8621,85.5489419,"[40541.8621,85.5489419],","{'gdp':40541.8621,'female_ratio':85.5489419},"
Italy,32406.7203,68.6779314,"[32406.7203,68.6779314],","{'gdp':32406.7203,'female_ratio':68.6779314},"
Jamaica,5069.18384,82.8394664,"[5069.18384,82.8394664],","{'gdp':5069.18384,'female_ratio':82.8394664},"
Jordan,4234.40313,22.2027754,"[4234.40313,22.2027754],","{'gdp':4234.40313,'female_ratio':22.2027754},"
Japan,38386.5111,72.4614841,"[38386.5111,72.4614841],","{'gdp':38386.5111,'female_ratio':72.4614841},"
Kazakhstan,9247.58133,83.181757,"[9247.58133,83.181757],","{'gdp':9247.58133,'female_ratio':83.181757},"
Kenya,1572.3355,92.3533659,"[1572.3355,92.3533659],","{'gdp':1572.3355,'female_ratio':92.3533659},"
Kyrgyz Republic,1242.76964,61.2291643,"[1242.76964,61.2291643],","{'gdp':1242.76964,'female_ratio':61.2291643},"
Cambodia,1385.25998,86.132151,"[1385.25998,86.132151],","{'gdp':1385.25998,'female_ratio':86.132151},"
"Korea, Rep.",31616.8434,71.808202,"[31616.8434,71.808202],","{'gdp':31616.8434,'female_ratio':71.808202},"
Kuwait,29759.4365,57.2498941,"[29759.4365,57.2498941],","{'gdp':29759.4365,'female_ratio':57.2498941},"
Lao PDR,2423.8462,95.6641499,"[2423.8462,95.6641499],","{'gdp':2423.8462,'female_ratio':95.6641499},"
Lebanon,7801.17866,31.8101108,"[7801.17866,31.8101108],","{'gdp':7801.17866,'female_ratio':31.8101108},"
Liberia,698.701764,88.9387896,"[698.701764,88.9387896],","{'gdp':698.701764,'female_ratio':88.9387896},"
Libya,5756.69845,52.23686,"[5756.69845,52.23686],","{'gdp':5756.69845,'female_ratio':52.23686},"
St. Lucia,11047.445,79.0470143,"[11047.445,79.0470143],","{'gdp':11047.445,'female_ratio':79.0470143},"
Sri Lanka,4077.04372,47.1860165,"[4077.04372,47.1860165],","{'gdp':4077.04372,'female_ratio':47.1860165},"
Lesotho,1150.07917,79.1261314,"[1150.07917,79.1261314],","{'gdp':1150.07917,'female_ratio':79.1261314},"
Lithuania,16885.4074,84.0385992,"[16885.4074,84.0385992],","{'gdp':16885.4074,'female_ratio':84.0385992},"
Luxembourg,107627.151,84.9439482,"[107627.151,84.9439482],","{'gdp':107627.151,'female_ratio':84.9439482},"
Latvia,15682.2214,81.1829108,"[15682.2214,81.1829108],","{'gdp':15682.2214,'female_ratio':81.1829108},"
"Macao SAR, China",81516.6749,85.7040055,"[81516.6749,85.7040055],","{'gdp':81516.6749,'female_ratio':85.7040055},"
Morocco,3036.32525,30.4874256,"[3036.32525,30.4874256],","{'gdp':3036.32525,'female_ratio':30.4874256},"
Moldova,3509.69345,85.880733,"[3509.69345,85.880733],","{'gdp':3509.69345,'female_ratio':85.880733},"
Madagascar,515.292725,93.5533156,"[515.292725,93.5533156],","{'gdp':515.292725,'female_ratio':93.5533156},"
Maldives,9577.62519,51.6331787,"[9577.62519,51.6331787],","{'gdp':9577.62519,'female_ratio':51.6331787},"
Mexico,9287.84974,55.41109,"[9287.84974,55.41109],","{'gdp':9287.84974,'female_ratio':55.41109},"
North Macedonia,5430.87421,63.0444038,"[5430.87421,63.0444038],","{'gdp':5430.87421,'female_ratio':63.0444038},"
Mali,830.018367,75.75536,"[830.018367,75.75536],","{'gdp':830.018367,'female_ratio':75.75536},"
Malta,28091.8616,66.4675174,"[28091.8616,66.4675174],","{'gdp':28091.8616,'female_ratio':66.4675174},"
Myanmar,1291.54241,61.6157724,"[1291.54241,61.6157724],","{'gdp':1291.54241,'female_ratio':61.6157724},"
Montenegro,7784.08791,75.4076846,"[7784.08791,75.4076846],","{'gdp':7784.08791,'female_ratio':75.4076846},"
Mongolia,3669.41754,79.9038645,"[3669.41754,79.9038645],","{'gdp':3669.41754,'female_ratio':79.9038645},"
Mozambique,461.415094,97.736979,"[461.415094,97.736979],","{'gdp':461.415094,'female_ratio':97.736979},"
Mauritania,1578.11417,45.3625865,"[1578.11417,45.3625865],","{'gdp':1578.11417,'female_ratio':45.3625865},"
Mauritius,10484.9084,61.5668247,"[10484.9084,61.5668247],","{'gdp':10484.9084,'female_ratio':61.5668247},"
Malawi,356.717573,89.2680608,"[356.717573,89.2680608],","{'gdp':356.717573,'female_ratio':89.2680608},"
Malaysia,10259.1818,65.6492458,"[10259.1818,65.6492458],","{'gdp':10259.1818,'female_ratio':65.6492458},"
Namibia,5303.30917,85.8781703,"[5303.30917,85.8781703],","{'gdp':5303.30917,'female_ratio':85.8781703},"
Niger,517.97503,72.4781916,"[517.97503,72.4781916],","{'gdp':517.97503,'female_ratio':72.4781916},"
Nigeria,1968.56474,82.7856625,"[1968.56474,82.7856625],","{'gdp':1968.56474,'female_ratio':82.7856625},"
Nicaragua,2159.15787,59.8035013,"[2159.15787,59.8035013],","{'gdp':2159.15787,'female_ratio':59.8035013},"
Netherlands,48675.2223,83.9182749,"[48675.2223,83.9182749],","{'gdp':48675.2223,'female_ratio':83.9182749},"
Norway,75496.7541,90.0888009,"[75496.7541,90.0888009],","{'gdp':75496.7541,'female_ratio':90.0888009},"
Nepal,911.444267,96.9208934,"[911.444267,96.9208934],","{'gdp':911.444267,'female_ratio':96.9208934},"
New Zealand,42849.4263,85.3068839,"[42849.4263,85.3068839],","{'gdp':42849.4263,'female_ratio':85.3068839},"
Oman,15130.5207,34.8791161,"[15130.5207,34.8791161],","{'gdp':15130.5207,'female_ratio':34.8791161},"
Pakistan,1464.99331,27.4503788,"[1464.99331,27.4503788],","{'gdp':1464.99331,'female_ratio':27.4503788},"
Panama,15150.3456,64.5240494,"[15150.3456,64.5240494],","{'gdp':15150.3456,'female_ratio':64.5240494},"
Peru,6710.50803,82.1219123,"[6710.50803,82.1219123],","{'gdp':6710.50803,'female_ratio':82.1219123},"
Philippines,3123.23423,61.3446938,"[3123.23423,61.3446938],","{'gdp':3123.23423,'female_ratio':61.3446938},"
Papua New Guinea,2695.25188,96.7581578,"[2695.25188,96.7581578],","{'gdp':2695.25188,'female_ratio':96.7581578},"
Poland,13864.6818,74.0765966,"[13864.6818,74.0765966],","{'gdp':13864.6818,'female_ratio':74.0765966},"
Puerto Rico,31108.7528,65.4785774,"[31108.7528,65.4785774],","{'gdp':31108.7528,'female_ratio':65.4785774},"
Portugal,21490.4299,83.6674124,"[21490.4299,83.6674124],","{'gdp':21490.4299,'female_ratio':83.6674124},"
Paraguay,5680.58077,67.2208453,"[5680.58077,67.2208453],","{'gdp':5680.58077,'female_ratio':67.2208453},"
West Bank and Gaza,3620.36049,24.9046476,"[3620.36049,24.9046476],","{'gdp':3620.36049,'female_ratio':24.9046476},"
Qatar,59124.9324,60.7862027,"[59124.9324,60.7862027],","{'gdp':59124.9324,'female_ratio':60.7862027},"
Romania,10807.7954,70.9405376,"[10807.7954,70.9405376],","{'gdp':10807.7954,'female_ratio':70.9405376},"
Russian Federation,10720.3326,77.7693258,"[10720.3326,77.7693258],","{'gdp':10720.3326,'female_ratio':77.7693258},"
Rwanda,772.318472,100.352861,"[772.318472,100.352861],","{'gdp':772.318472,'female_ratio':100.352861},"
Saudi Arabia,20803.7459,28.6871485,"[20803.7459,28.6871485],","{'gdp':20803.7459,'female_ratio':28.6871485},"
Sudan,1111.86845,42.1414394,"[1111.86845,42.1414394],","{'gdp':1111.86845,'female_ratio':42.1414394},"
Senegal,1361.69959,60.3760852,"[1361.69959,60.3760852],","{'gdp':1361.69959,'female_ratio':60.3760852},"
Singapore,60913.7453,78.6720849,"[60913.7453,78.6720849],","{'gdp':60913.7453,'female_ratio':78.6720849},"
Solomon Islands,2332.81487,96.0472227,"[2332.81487,96.0472227],","{'gdp':2332.81487,'female_ratio':96.0472227},"
Sierra Leone,499.380708,97.4502457,"[499.380708,97.4502457],","{'gdp':499.380708,'female_ratio':97.4502457},"
El Salvador,3910.25719,59.8038322,"[3910.25719,59.8038322],","{'gdp':3910.25719,'female_ratio':59.8038322},"
Serbia,6292.54363,75.5447552,"[6292.54363,75.5447552],","{'gdp':6292.54363,'female_ratio':75.5447552},"
São Tomé and Principe,1813.78324,55.3289867,"[1813.78324,55.3289867],","{'gdp':1813.78324,'female_ratio':55.3289867},"
Suriname,5637.51495,60.2023677,"[5637.51495,60.2023677],","{'gdp':5637.51495,'female_ratio':60.2023677},"
Slovak Republic,17556.6008,77.9756858,"[17556.6008,77.9756858],","{'gdp':17556.6008,'female_ratio':77.9756858},"
Slovenia,23512.8173,84.7276959,"[23512.8173,84.7276959],","{'gdp':23512.8173,'female_ratio':84.7276959},"
Sweden,53791.5087,90.1201526,"[53791.5087,90.1201526],","{'gdp':53791.5087,'female_ratio':90.1201526},"
Eswatini,3914.61325,85.1519224,"[3914.61325,85.1519224],","{'gdp':3914.61325,'female_ratio':85.1519224},"
Chad,665.948353,82.0760951,"[665.948353,82.0760951],","{'gdp':665.948353,'female_ratio':82.0760951},"
Togo,626.091528,96.5117326,"[626.091528,96.5117326],","{'gdp':626.091528,'female_ratio':96.5117326},"
Thailand,6592.9149,77.9311904,"[6592.9149,77.9311904],","{'gdp':6592.9149,'female_ratio':77.9311904},"
Tajikistan,806.041573,60.0167856,"[806.041573,60.0167856],","{'gdp':806.041573,'female_ratio':60.0167856},"
Turkmenistan,6587.09032,65.8552167,"[6587.09032,65.8552167],","{'gdp':6587.09032,'female_ratio':65.8552167},"
Timor-Leste,1286.40575,84.9139562,"[1286.40575,84.9139562],","{'gdp':1286.40575,'female_ratio':84.9139562},"
Tonga,4513.60953,61.448941,"[4513.60953,61.448941],","{'gdp':4513.60953,'female_ratio':61.448941},"
Trinidad and Tobago,16238.1932,70.9531587,"[16238.1932,70.9531587],","{'gdp':16238.1932,'female_ratio':70.9531587},"
Tunisia,3481.22874,34.5877039,"[3481.22874,34.5877039],","{'gdp':3481.22874,'female_ratio':34.5877039},"
Turkey,10591.4744,46.197192,"[10591.4744,46.197192],","{'gdp':10591.4744,'female_ratio':46.197192},"
Tanzania,1004.84112,91.0567178,"[1004.84112,91.0567178],","{'gdp':1004.84112,'female_ratio':91.0567178},"
Uganda,747.196907,89.6886454,"[747.196907,89.6886454],","{'gdp':747.196907,'female_ratio':89.6886454},"
Ukraine,2640.67568,74.1588269,"[2640.67568,74.1588269],","{'gdp':2640.67568,'female_ratio':74.1588269},"
Uruguay,17322.1474,75.4317143,"[17322.1474,75.4317143],","{'gdp':17322.1474,'female_ratio':75.4317143},"
United States,60062.2223,82.2425689,"[60062.2223,82.2425689],","{'gdp':60062.2223,'female_ratio':82.2425689},"
Uzbekistan,1826.56692,67.2918393,"[1826.56692,67.2918393],","{'gdp':1826.56692,'female_ratio':67.2918393},"
St. Vincent and the Grenadines,7212.96018,69.7516727,"[7212.96018,69.7516727],","{'gdp':7212.96018,'female_ratio':69.7516727},"
Virgin Islands (U.S.),35938.0244,92.4145986,"[35938.0244,92.4145986],","{'gdp':35938.0244,'female_ratio':92.4145986},"
Vietnam,2365.62167,88.1816865,"[2365.62167,88.1816865],","{'gdp':2365.62167,'female_ratio':88.1816865},"
Vanuatu,3082.35632,77.2977953,"[3082.35632,77.2977953],","{'gdp':3082.35632,'female_ratio':77.2977953},"
Samoa,4259.765,56.2571773,"[4259.765,56.2571773],","{'gdp':4259.765,'female_ratio':56.2571773},"
"Yemen, Rep.",960.528534,8.59248135,"[960.528534,8.59248135],","{'gdp':960.528534,'female_ratio':8.59248135},"
South Africa,6132.47984,78.5638508,"[6132.47984,78.5638508],","{'gdp':6132.47984,'female_ratio':78.5638508},"
Zambia,1534.86675,88.313809,"[1534.86675,88.313809],","{'gdp':1534.86675,'female_ratio':88.313809},"
Zimbabwe,1548.17006,87.4008016,"[1548.17006,87.4008016],","{'gdp':1548.17006,'female_ratio':87.4008016},"